lvl	pos	rep	cpos	crep	ctype	content_class	priority	index	function_name	argument_gloss	argument_name	argument_description
0	010	000	110	000		C	3	4	Aspect	UNLIM	Iterative atelic	Predication that repeats in an atelic manner
0	010	000	110	000		C	4	6	Aspect	SG	Monadic perfective	One-time telic predication that successfully terminated
0	010	000	110	000		C	5	10	Aspect	PRT	Monadic imperfective	One-time telic predication that did not terminate
0	010	000	110	000		C	6	14	Aspect	PL	Iterative perfective	Repeating telic predication that successfully terminated
0	010	000	110	000		C	7	18	Aspect	PAU	Iterative imperfective	Repeating telic predication that did not terminate
1						V	1	0	Part of speech		Stative	Complete statements
1						V	2	1	Part of speech	PRED	Predicative	Non-acting predicate elements
1						V	3	2	Part of speech	SUBJ	Subjective	Non-acting subject elements
1						V	4	3	Part of speech	VERB	Verb	Independent acting predicate elements
1						V	5	4	Part of speech	ADV	Adverb	Dependent predicate elements
1						V	6	5	Part of speech	NOUN	Noun	Independent acting subject elements
1						V	7	6	Part of speech	ADJ	Adjective	Dependent subject elements
